id,source,external_id,category,lat,lon,place_name,occurred_at,raw_json
sample-dhk-01,sample,demo-dhaka-001,theft,23.8103,90.4125,Dhaka — Gulshan (DEMO SAMPLE),2026-08-14T08:15:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report"",""note"":""Synthetic point for map demo""}"
sample-dhk-02,sample,demo-dhaka-002,robbery,23.7925,90.4078,Dhaka — Banani (DEMO SAMPLE),2026-08-14T11:40:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-03,sample,demo-dhaka-003,assault,23.7461,90.3742,Dhaka — Dhanmondi (DEMO SAMPLE),2026-08-13T19:20:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-04,sample,demo-dhaka-004,burglary,23.7510,90.3920,Dhaka — Kalabagan (DEMO SAMPLE),2026-08-13T03:05:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-05,sample,demo-dhaka-005,vehicle-crime,23.8223,90.3654,Dhaka — Mirpur (DEMO SAMPLE),2026-08-12T22:50:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-06,sample,demo-dhaka-006,theft,23.8697,90.3972,Dhaka — Uttara (DEMO SAMPLE),2026-08-12T16:10:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-07,sample,demo-dhaka-007,public-order,23.7330,90.4172,Dhaka — Motijheel (DEMO SAMPLE),2026-08-11T14:30:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-08,sample,demo-dhaka-008,drugs,23.7286,90.3854,Dhaka — New Market (DEMO SAMPLE),2026-08-11T09:00:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-09,sample,demo-dhaka-009,violence-and-sexual-offences,23.7770,90.3990,Dhaka — Tejgaon (DEMO SAMPLE),2026-08-10T21:15:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-10,sample,demo-dhaka-010,theft,23.7590,90.3895,Dhaka — Farmgate (DEMO SAMPLE),2026-08-10T12:45:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-11,sample,demo-dhaka-011,robbery,23.7150,90.4040,Dhaka — Old Dhaka (DEMO SAMPLE),2026-08-09T20:05:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-12,sample,demo-dhaka-012,burglary,23.8015,90.3530,Dhaka — Pallabi (DEMO SAMPLE),2026-08-09T04:25:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-13,sample,demo-dhaka-013,vehicle-crime,23.7808,90.4166,Dhaka — Mohakhali (DEMO SAMPLE),2026-08-08T18:55:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-14,sample,demo-dhaka-014,criminal-damage-arson,23.7388,90.3955,Dhaka — Green Road (DEMO SAMPLE),2026-08-08T01:40:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-15,sample,demo-dhaka-015,theft,23.8560,90.4105,Dhaka — Airport Road (DEMO SAMPLE),2026-08-07T15:20:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-16,sample,demo-dhaka-016,assault,23.7645,90.3688,Dhaka — Mohammadpur (DEMO SAMPLE),2026-08-07T10:05:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-17,sample,demo-dhaka-017,public-order,23.7255,90.4260,Dhaka — Paltan (DEMO SAMPLE),2026-08-06T17:35:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-18,sample,demo-dhaka-018,theft,23.7955,90.4240,Dhaka — Baridhara (DEMO SAMPLE),2026-08-06T08:50:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-19,sample,demo-dhaka-019,other-crime,23.7488,90.4102,Dhaka — Eskaton (DEMO SAMPLE),2026-08-05T23:10:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
sample-dhk-20,sample,demo-dhaka-020,theft,23.8320,90.4185,Dhaka — Bashundhara (DEMO SAMPLE),2026-08-05T13:00:00Z,"{""demo"":true,""label"":""Demo / sample — not an official police report""}"
